vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-05-01 03:56:21.000000 UTC,2016-05-01 03:57:08.000000 UTC,1,0.1,-74.00054931640625,40.729866027832031,1,N,-74.001045227050781,40.729213714599609,3,2.5,0.5,0.5,0.0,0.0,0.3,3.8
1,2016-05-01 03:56:20.000000 UTC,2016-05-01 03:59:44.000000 UTC,1,0.6,-73.96917724609375,40.754169464111328,1,N,-73.977668762207031,40.754714965820312,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2016-05-01 03:56:17.000000 UTC,2016-05-01 03:59:03.000000 UTC,6,0.69,-73.978691101074219,40.747615814208984,1,N,-73.979179382324219,40.7403564453125,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8
2,2016-05-01 03:56:02.000000 UTC,2016-05-01 03:58:45.000000 UTC,6,0.73,-73.992340087890625,40.756549835205078,1,N,-73.984573364257812,40.760959625244141,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
1,2016-05-01 03:56:01.000000 UTC,2016-05-01 03:59:33.000000 UTC,2,0.9,-73.987289428710938,40.739128112792969,1,N,-73.987228393554688,40.7291145324707,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
1,2016-05-01 03:55:59.000000 UTC,2016-05-01 03:58:49.000000 UTC,1,0.4,-73.988883972167969,40.730632781982422,1,N,-73.985786437988281,40.726764678955078,1,4.0,0.5,0.5,1.0,0.0,0.3,6.3
1,2016-05-01 03:55:59.000000 UTC,2016-05-01 03:58:37.000000 UTC,1,0.4,-73.982940673828125,40.721084594726562,1,N,-73.979698181152344,40.724521636962891,1,4.0,0.5,0.5,0.0,0.0,0.3,5.3
1,2016-05-01 03:55:55.000000 UTC,2016-05-01 03:59:52.000000 UTC,1,1.3,-74.004318237304688,40.751930236816406,1,N,-73.990859985351562,40.765830993652344,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5
1,2016-05-01 03:55:52.000000 UTC,2016-05-01 03:58:07.000000 UTC,1,0.2,-73.985519409179688,40.728469848632812,1,N,-73.988685607910156,40.727153778076172,1,3.5,0.5,0.5,0.95,0.0,0.3,5.75
1,2016-05-01 03:55:49.000000 UTC,2016-05-01 03:58:30.000000 UTC,1,0.6,-73.975334167480469,40.7611083984375,1,N,-73.973098754882812,40.755416870117188,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35
